"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","EMNT","EMXT","HDSD","TAVG","TMAX","TMIN"
"US1MIWS0020","ANN ARBOR 1.7 NNW, MI US","42.29982","-83.739201","257.3","2014",,,,,,,
"US1MIWS0031","DEXTER 2.2 SE, MI US","42.304488","-83.855344","285.6","2015",,,,,,,
"US1MIWS0031","DEXTER 2.2 SE, MI US","42.304488","-83.855344","285.6","2016",,,,,,,
"US1MIWS0031","DEXTER 2.2 SE, MI US","42.304488","-83.855344","285.6","2017",,,,,,,
"US1MIWS0031","DEXTER 2.2 SE, MI US","42.304488","-83.855344","285.6","2018",,,,,,,
"US1MIWS0031","DEXTER 2.2 SE, MI US","42.304488","-83.855344","285.6","2019",,,,,,,
"US1MIWS0042","ANN ARBOR 4.5 W, MI US","42.27814","-83.818844","278.6","2017",,,,,,,
"US1MIWS0042","ANN ARBOR 4.5 W, MI US","42.27814","-83.818844","278.6","2018",,,,,,,
"US1MIWS0042","ANN ARBOR 4.5 W, MI US","42.27814","-83.818844","278.6","2019",,,,,,,
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2004","455","-10","90","6686","47.8","58.2","37.4"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2005","786","-8","94","6720","48.7","59.7","37.7"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2006","574","2","95","6191","49.7","60.1","39.3"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2007","689","-7","95","6520","48.8","59.6","38.0"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2008","527","-1","94","6712","47.4","58.4","36.4"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2009","367","-13","94","7016","47.1","58.1","36.1"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2010","791","2","95","6308","49.6","60.2","39.0"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2011","758","-5","98","6934","48.8","59.3","38.3"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2012","821","-1","100","5613","51.4","63.1","39.7"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2013","616","-4","93","6626","47.6","57.8","37.4"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2014","465","-15","92","7659","45.4","56.1","34.7"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2015","551","-18","92","7290","48.0","59.0","37.0"
"USC00200228","ANN ARBOR SE, MI US","42.2416","-83.6933","253.6","2016","800","-4","94","5919","50.3","61.4","39.3"
